epoch,pretrain-pdebenchfull_ns01_train_loss,pretrain-pdebenchfull_ns01_valid_loss,pretrain-pdebenchfull_ns02_train_loss,pretrain-pdebenchfull_ns02_valid_loss,pretrain-pdebenchfull_ns03_train_loss,pretrain-pdebenchfull_ns03_valid_loss,pretrain-pdebenchfull_ns04_train_loss,pretrain-pdebenchfull_ns04_valid_loss,pretrain-pdebenchfull_ns05_train_loss,pretrain-pdebenchfull_ns05_valid_loss,pretrain-pdebenchfull_ns06_train_loss,pretrain-pdebenchfull_ns06_valid_loss,pretrain-pdebenchfull_ns07_train_loss,pretrain-pdebenchfull_ns07_valid_loss,pretrain-pdebenchfull_ns08_train_loss,pretrain-pdebenchfull_ns08_valid_loss,pretrain-pdebenchpart_ns01_train_loss,pretrain-pdebenchpart_ns01_valid_loss,pretrain-pdebenchpart_ns02_train_loss,pretrain-pdebenchpart_ns02_valid_loss,pretrain-pdebenchpart_ns03_train_loss,pretrain-pdebenchpart_ns03_valid_loss,pretrain-pdebenchpart_ns04_train_loss,pretrain-pdebenchpart_ns04_valid_loss,pretrain-pdebenchpart_ns05_train_loss,pretrain-pdebenchpart_ns05_valid_loss,pretrain-pdebenchpart_ns06_train_loss,pretrain-pdebenchpart_ns06_valid_loss,pretrain-pdebenchpart_ns07_train_loss,pretrain-pdebenchpart_ns07_valid_loss,pretrain-pdebenchpart_ns08_train_loss,pretrain-pdebenchpart_ns08_valid_loss,dtrain-CLX_ns01_train_loss,dtrain-CLX_ns01_valid_loss,dtrain-CLX_ns02_train_loss,dtrain-CLX_ns02_valid_loss,dtrain-CLX_ns03_train_loss,dtrain-CLX_ns03_valid_loss,dtrain-CLX_ns04_train_loss,dtrain-CLX_ns04_valid_loss,dtrain-CLX_ns05_train_loss,dtrain-CLX_ns05_valid_loss,dtrain-CLX_ns06_train_loss,dtrain-CLX_ns06_valid_loss,dtrain-CLX_ns07_train_loss,dtrain-CLX_ns07_valid_loss,dtrain-CLX_ns08_train_loss,dtrain-CLX_ns08_valid_loss,dtrain-LSC_ns01_train_loss,dtrain-LSC_ns01_valid_loss,dtrain-LSC_ns02_train_loss,dtrain-LSC_ns02_valid_loss,dtrain-LSC_ns03_train_loss,dtrain-LSC_ns03_valid_loss,dtrain-LSC_ns04_train_loss,dtrain-LSC_ns04_valid_loss,dtrain-LSC_ns05_train_loss,dtrain-LSC_ns05_valid_loss,dtrain-LSC_ns06_train_loss,dtrain-LSC_ns06_valid_loss,dtrain-LSC_ns07_train_loss,dtrain-LSC_ns07_valid_loss,dtrain-LSC_ns08_train_loss,dtrain-LSC_ns08_valid_loss
1,0.4202,0.2717,0.4073,0.2763,0.4077,0.2777,0.3962,0.2609,0.4015,0.2836,0.4123,0.2710,0.3988,0.2687,0.4184,0.2719,0.3794,0.2795,0.3690,0.2687,0.3678,0.2727,0.3732,0.2833,0.3698,0.2899,0.3632,0.2622,0.3680,0.2652,0.3579,0.2679,1.2120,1.1035,1.2330,1.0917,1.2100,1.0771,1.2563,1.0192,1.1846,1.0150,1.2047,0.9772,1.2126,1.0276,1.2613,1.0203,0.7311,0.7128,0.7306,0.7003,0.7209,0.6811,0.7222,0.6783,0.7213,0.6764,0.7229,0.6774,0.7269,0.6835,0.7210,0.6759
2,0.2226,0.2563,0.2163,0.2414,0.2148,0.2341,0.2062,0.2326,0.2172,0.2500,0.2101,0.2582,0.2103,0.2371,0.2045,0.2345,0.2146,0.2312,0.2064,0.2412,0.2020,0.2281,0.2069,0.2423,0.1939,0.2302,0.2021,0.2270,0.1877,0.2211,0.1969,0.2396,0.9823,1.0508,0.9770,1.0319,0.9701,1.0520,0.9584,1.0015,0.9541,0.9659,0.9527,0.9719,0.9455,0.9837,0.9626,0.9972,0.5704,0.6830,0.5674,0.6800,0.5603,0.6721,0.5609,0.6619,0.5619,0.6639,0.5609,0.6615,0.5616,0.6683,0.5614,0.6671
3,0.2126,0.2384,0.1940,0.2203,0.1997,0.2316,0.1906,0.2297,0.1943,0.2369,0.1922,0.2168,0.1983,0.2132,0.1899,0.2382,0.2108,0.2244,0.1859,0.2189,0.1929,0.2085,0.1777,0.2175,0.1833,0.2389,0.1963,0.2065,0.1672,0.2050,0.1778,0.2347,0.9692,1.0066,0.9590,0.9983,0.9541,1.0129,0.9437,0.9736,0.9340,0.9733,0.9285,1.0058,0.9532,1.0057,0.9558,0.9714,0.5535,0.6749,0.5536,0.6742,0.5523,0.6628,0.5486,0.6664,0.5523,0.6613,0.5492,0.6619,0.5510,0.6613,0.5450,0.6634
4,0.2002,0.2269,0.1748,0.2071,0.1730,0.1961,0.1812,0.2058,0.1730,0.2017,0.1727,0.2071,0.1700,0.1996,0.1755,0.2283,0.2019,0.2067,0.1633,0.1936,0.1784,0.1874,0.1584,0.1936,0.1574,0.2004,0.1654,0.1899,0.1812,0.2075,0.1891,0.2173,0.9790,0.9778,0.9710,1.0032,0.9499,0.9936,0.9393,0.9899,0.9191,0.9686,0.9366,0.9419,0.9295,1.0223,0.9395,1.0093,0.5544,0.6744,0.5496,0.6722,0.5474,0.6591,0.5472,0.6593,0.5465,0.6564,0.5443,0.6561,0.5450,0.6679,0.5434,0.6618
5,0.2140,0.2183,0.1699,0.2004,0.1704,0.1895,0.1658,0.1849,0.1612,0.2130,0.1632,0.1919,0.1628,0.1971,0.1617,0.2098,0.1807,0.1991,0.1577,0.1930,0.1498,0.1701,0.1559,0.1937,0.1512,0.1973,0.1504,0.1733,0.1597,0.1756,0.1555,0.2236,0.9538,0.9624,0.9358,1.0008,0.9316,0.9911,0.9254,0.9498,0.9395,0.9372,0.9257,0.9510,0.9174,0.9800,0.9269,0.9785,0.5487,0.6698,0.5447,0.6681,0.5419,0.6540,0.5426,0.6521,0.5434,0.6539,0.5427,0.6549,0.5386,0.6598,0.5444,0.6566
6,0.1943,0.2174,0.1708,0.1930,0.1607,0.1807,0.1555,0.1821,0.1714,0.2013,0.1497,0.1726,0.1530,0.1760,0.1550,0.1969,0.1812,0.1939,0.1508,0.1818,0.1609,0.1745,0.1531,0.1826,0.1537,0.1768,0.1430,0.1589,0.1373,0.1599,0.1404,0.2179,0.9301,1.0114,0.9303,1.1411,0.9421,1.0097,0.9141,0.9699,0.9122,0.9496,0.9205,0.9154,0.9124,0.9795,0.9213,0.9648,0.5428,0.6673,0.5429,0.6685,0.5410,0.6570,0.5412,0.6556,0.5390,0.6526,0.5404,0.6593,0.5389,0.6610,0.5397,0.6552
7,0.1969,0.2136,0.1685,0.1996,0.1615,0.1729,0.1540,0.1844,0.1546,0.1910,0.1487,0.1723,0.1494,0.1701,0.1568,0.1793,0.1788,0.1876,0.1469,0.1695,0.1362,0.1605,0.1465,0.1626,0.1354,0.1657,0.1410,0.1529,0.1422,0.1508,0.1432,0.1715,0.9241,0.9522,0.9323,0.9852,0.9392,1.0026,0.9143,0.9555,0.9062,0.9441,0.9115,0.9191,0.9199,0.9200,0.9197,0.9874,0.5417,0.6661,0.5408,0.6623,0.5434,0.6539,0.5427,0.6525,0.5412,0.6584,0.5331,0.6543,0.5358,0.6620,0.5395,0.6600
8,0.1786,0.2019,0.1535,0.1892,0.1414,0.1606,0.1509,0.1682,0.1382,0.1748,0.1403,0.1616,0.1433,0.1661,0.1445,0.1782,0.1667,0.1830,0.1449,0.1582,0.1408,0.1507,0.1364,0.1850,0.1311,0.1604,0.1332,0.1517,0.1318,0.1463,0.1266,0.1589,0.9225,1.0123,0.9280,0.9771,0.9290,0.9658,0.9065,0.9483,0.9195,0.9356,0.9112,0.9386,0.9097,0.9817,0.9097,0.9627,0.5399,0.6774,0.5427,0.6696,0.5394,0.6539,0.5396,0.6495,0.5348,0.6525,0.5420,0.6489,0.5424,0.6643,0.5355,0.6556
9,0.1818,0.2064,0.1540,0.1776,0.1496,0.1614,0.1374,0.1622,0.1325,0.1681,0.1347,0.1639,0.1484,0.1628,0.1357,0.1587,0.1626,0.1830,0.1435,0.1737,0.1294,0.1442,0.1320,0.1545,0.1288,0.1526,0.1243,0.1388,0.1236,0.1408,0.1319,0.1507,0.9194,0.9770,0.9229,1.0687,0.9230,0.9650,0.9147,0.9533,0.9087,0.9513,0.8980,0.8975,0.9074,0.9863,0.9132,0.9897,0.5389,0.6746,0.5382,0.6628,0.5326,0.6555,0.5360,0.6514,0.5385,0.6565,0.5396,0.6528,0.5371,0.6568,0.5345,0.6529
10,0.1733,0.1980,0.1407,0.1854,0.1368,0.1592,0.1314,0.1648,0.1332,0.1643,0.1368,0.1576,0.1331,0.1540,0.1249,0.1557,0.1640,0.1738,0.1388,0.1468,0.1200,0.1361,0.1240,0.1460,0.1217,0.1498,0.1260,0.1407,0.1210,0.1360,0.1114,0.1498,0.9253,0.9982,0.9157,0.9836,0.9213,0.9601,0.9194,0.9398,0.9009,0.9384,0.9046,0.9057,0.8997,0.9443,0.9109,0.9633,0.5358,0.6674,0.5380,0.6615,0.5387,0.6501,0.5393,0.6517,0.5361,0.6508,0.5333,0.6527,0.5370,0.6557,0.5336,0.6543
