epoch,train_loss,valid_loss
1,1.2100,1.0771
2,0.9701,1.0520
3,0.9541,1.0129
4,0.9499,0.9936
5,0.9316,0.9911
6,0.9421,1.0097
7,0.9392,1.0026
8,0.9290,0.9658
9,0.9230,0.9650
10,0.9213,0.9601
11,0.9132,0.9496
12,0.9256,0.9441
13,0.9065,0.9613
14,0.9141,0.9470
15,0.8971,0.9588
16,0.9134,0.9364
17,0.9054,0.9181
18,0.9104,0.9425
19,0.8927,0.9433
20,0.9071,0.9347
21,0.8949,0.9564
22,0.8988,0.9383
23,0.8897,0.9206
24,0.8907,0.9409
25,0.8982,0.9567
26,0.9020,0.9047
27,0.9014,0.9067
28,0.8882,0.9233
29,0.9020,0.9689
30,0.8876,0.9149
31,0.8983,0.9345
32,0.8917,0.9465
33,0.8990,0.9391
34,0.8986,0.9410
35,0.8885,0.9369
36,0.8976,0.9408
37,0.8806,0.9244
38,0.8950,0.9425
39,0.8884,0.9220
40,0.8866,0.9092
41,0.8944,0.9203
42,0.8891,0.9163
43,0.8822,0.9424
44,0.8878,0.9130
45,0.8888,0.9011
46,0.8973,0.9440
47,0.8872,0.9272
48,0.8879,0.9449
49,0.8945,0.9070
50,0.8876,0.9084
51,0.8943,0.9252
52,0.8826,0.9154
53,0.8917,0.9338
54,0.8833,0.9084
55,0.8896,0.9176
56,0.8991,0.9279
57,0.8897,0.9419
58,0.8912,0.9130
59,0.8823,0.9171
60,0.8905,0.9474
61,0.8763,0.9358
62,0.8842,0.9240
63,0.8897,0.9042
64,0.8911,0.9058
65,0.8946,0.9168
66,0.8829,0.8941
67,0.8841,0.9438
68,0.8896,0.9200
69,0.8800,0.8998
70,0.8805,0.9134
71,0.8880,0.9284
72,0.8830,0.9096
73,0.8732,0.9391
74,0.8757,0.9040
75,0.8776,0.9158
76,0.8914,0.9030
77,0.8843,0.9275
78,0.8828,0.9088
79,0.8855,0.9072
80,0.8871,0.9130
81,0.8782,0.9307
82,0.8763,0.9107
83,0.8848,0.9153
84,0.8906,0.8943
85,0.8933,0.9063
86,0.8736,0.9031
87,0.8801,0.9001
88,0.8735,0.9106
89,0.8741,0.9072
90,0.8847,0.9089
91,0.8840,0.9134
92,0.8807,0.9011
93,0.8903,0.9262
94,0.8774,0.9017
95,0.8832,0.9153
96,0.8925,0.9243
97,0.8810,0.9100
98,0.8824,0.9053
99,0.8803,0.9035
100,0.8740,0.9001
101,0.8769,0.8948
102,0.8758,0.8942
103,0.8771,0.9047
104,0.8752,0.9004
105,0.8846,0.8867
106,0.8754,0.8855
107,0.8795,0.9141
108,0.8792,0.9001
109,0.8733,0.8979
110,0.8776,0.9006
111,0.8729,0.8874
112,0.8743,0.9049
113,0.8787,0.8976
114,0.8803,0.9144
115,0.8854,0.9058
116,0.8686,0.9067
117,0.8788,0.9137
118,0.8750,0.9172
119,0.8758,0.9075
120,0.8707,0.9113
121,0.8796,0.9021
122,0.8728,0.8974
123,0.8733,0.9112
124,0.8730,0.9100
125,0.8734,0.9045
126,0.8808,0.8917
127,0.8708,0.9131
128,0.8713,0.8949
129,0.8685,0.8997
130,0.8736,0.8849
131,0.8770,0.8934
132,0.8755,0.9032
133,0.8692,0.8915
134,0.8731,0.8996
135,0.8758,0.8963
136,0.8772,0.8913
137,0.8775,0.8817
138,0.8681,0.8994
139,0.8784,0.8924
137,0.8794,0.9181
138,0.8754,0.8813
139,0.8967,0.9076
140,0.8779,0.9157
141,0.8815,0.8824
142,0.8769,0.9100
143,0.8828,0.8961
144,0.8749,0.9090
145,0.8766,0.8938
146,0.8729,0.8986
147,0.8735,0.8924
148,0.8844,0.9106
149,0.9024,0.9023
150,0.8752,0.9126
151,0.8718,0.9202
152,0.8792,0.8977
153,0.8642,0.9146
154,0.8888,0.9175
155,0.8838,0.9084
156,0.8699,0.9120
157,0.8858,0.9099
158,0.8741,0.9183
159,0.8776,0.9074
160,0.8806,0.9032
161,0.8726,0.9104
162,0.8738,0.9085
163,0.8751,0.8915
164,0.9036,0.9159
165,0.8776,0.9117
166,0.8830,0.9130
167,0.8828,0.8993
168,0.8875,0.9018
169,0.8798,0.9179
170,0.8843,0.9021
171,0.8778,0.9138
