epoch,train_loss,valid_loss
1,0.7209,0.6811
2,0.5603,0.6721
3,0.5523,0.6628
4,0.5474,0.6591
5,0.5419,0.6540
6,0.5410,0.6570
7,0.5434,0.6539
8,0.5394,0.6539
9,0.5326,0.6555
10,0.5387,0.6501
11,0.5343,0.6545
12,0.5399,0.6503
13,0.5403,0.6547
14,0.5339,0.6490
15,0.5327,0.6500
16,0.5361,0.6485
17,0.5344,0.6494
18,0.5372,0.6480
19,0.5320,0.6484
20,0.5357,0.6531
21,0.5325,0.6506
22,0.5301,0.6484
23,0.5334,0.6493
24,0.5292,0.6478
25,0.5340,0.6462
26,0.5333,0.6471
27,0.5278,0.6490
28,0.5300,0.6448
29,0.5333,0.6467
30,0.5322,0.6544
31,0.5315,0.6486
32,0.5318,0.6474
33,0.5322,0.6473
34,0.5294,0.6455
35,0.5294,0.6483
36,0.5342,0.6445
37,0.5295,0.6456
38,0.5286,0.6588
39,0.5299,0.6499
40,0.5327,0.6498
41,0.5318,0.6454
42,0.5295,0.6479
43,0.5316,0.6456
44,0.5305,0.6451
45,0.5283,0.6469
46,0.5282,0.6451
47,0.5267,0.6440
48,0.5294,0.6458
49,0.5292,0.6455
50,0.5316,0.6444
51,0.5301,0.6470
52,0.5340,0.6456
53,0.5311,0.6431
54,0.5296,0.6474
55,0.5287,0.6446
56,0.5270,0.6437
57,0.5251,0.6439
58,0.5301,0.6439
59,0.5308,0.6437
60,0.5272,0.6436
61,0.5308,0.6440
62,0.5284,0.6442
63,0.5282,0.6436
64,0.5293,0.6446
65,0.5300,0.6436
66,0.5291,0.6439
67,0.5283,0.6424
68,0.5289,0.6430
69,0.5309,0.6423
70,0.5303,0.6460
71,0.5288,0.6430
72,0.5302,0.6428
73,0.5297,0.6450
74,0.5281,0.6447
75,0.5275,0.6434
76,0.5263,0.6451
77,0.5285,0.6422
78,0.5281,0.6422
79,0.5290,0.6440
80,0.5266,0.6438
81,0.5276,0.6450
82,0.5320,0.6421
83,0.5327,0.6429
84,0.5329,0.6442
85,0.5303,0.6443
86,0.5320,0.6441
87,0.5302,0.6432
88,0.5316,0.6443
89,0.5274,0.6452
90,0.5305,0.6450
91,0.5244,0.6433
92,0.5284,0.6451
93,0.5296,0.6446
94,0.5267,0.6425
95,0.5296,0.6424
96,0.5260,0.6497
97,0.5274,0.6468
98,0.5307,0.6450
99,0.5319,0.6425
100,0.5313,0.6436
101,0.5328,0.6438
102,0.5282,0.6436
103,0.5278,0.6438
104,0.5277,0.6427
105,0.5299,0.6432
106,0.5247,0.6428
107,0.5270,0.6445
108,0.5296,0.6439
109,0.5278,0.6433
110,0.5271,0.6444
111,0.5308,0.6437
112,0.5260,0.6423
113,0.5290,0.6427
114,0.5281,0.6434
115,0.5266,0.6435
116,0.5261,0.6443
117,0.5276,0.6440
118,0.5276,0.6431
119,0.5266,0.6437
120,0.5312,0.6448
121,0.5280,0.6445
122,0.5300,0.6434
123,0.5291,0.6438
124,0.5284,0.6417
125,0.5272,0.6481
126,0.5280,0.6436
127,0.5308,0.6433
128,0.5302,0.6446
129,0.5270,0.6452
130,0.5269,0.6422
131,0.5293,0.6424
132,0.5267,0.6429
133,0.5269,0.6428
134,0.5296,0.6444
135,0.5314,0.6454
136,0.5294,0.6426
137,0.5300,0.6427
138,0.5284,0.6427
139,0.5277,0.6435
140,0.5286,0.6432
141,0.5268,0.6429
142,0.5274,0.6443
143,0.5267,0.6433
144,0.5291,0.6427
145,0.5295,0.6427
146,0.5282,0.6432
147,0.5336,0.6433
148,0.5271,0.6423
149,0.5248,0.6418
150,0.5338,0.6449
151,0.5313,0.6468
152,0.5313,0.6442
153,0.5324,0.6459
154,0.5324,0.6421
155,0.5291,0.6461
156,0.5296,0.6484
157,0.5263,0.6466
158,0.5278,0.6452
159,0.5285,0.6466
160,0.5294,0.6485
161,0.5304,0.6465
162,0.5272,0.6448
163,0.5279,0.6467
164,0.5302,0.6473
165,0.5310,0.6442
166,0.5310,0.6446
167,0.5317,0.6466
168,0.5321,0.6458
169,0.5304,0.6454
170,0.5284,0.6476
171,0.5270,0.6460
172,0.5253,0.6448
