epoch,train_loss,valid_loss
1,0.4077,0.2777
2,0.2148,0.2341
3,0.1997,0.2316
4,0.1730,0.1961
5,0.1704,0.1895
6,0.1607,0.1807
7,0.1615,0.1729
8,0.1414,0.1606
9,0.1496,0.1614
10,0.1368,0.1592
11,0.1404,0.1549
12,0.1322,0.1525
13,0.1241,0.1414
14,0.1222,0.1388
15,0.1208,0.1377
16,0.1151,0.1303
17,0.1091,0.1270
18,0.1044,0.1221
19,0.1032,0.1213
20,0.1181,0.1213
21,0.1093,0.1222
22,0.1064,0.1146
23,0.1029,0.1150
24,0.0990,0.1108
25,0.0978,0.1131
26,0.0999,0.1125
27,0.0995,0.1090
28,0.0971,0.1102
29,0.0933,0.1080
30,0.0953,0.1019
31,0.0948,0.1070
32,0.0900,0.1021
33,0.0907,0.1001
34,0.0923,0.0981
35,0.0880,0.0982
36,0.0902,0.1038
37,0.0890,0.1028
38,0.0883,0.0958
39,0.0842,0.0922
40,0.0790,0.0966
41,0.0798,0.0939
42,0.0823,0.0911
43,0.0848,0.0951
44,0.0811,0.0914
45,0.0830,0.0926
46,0.0789,0.0871
47,0.0772,0.0874
48,0.0858,0.0881
49,0.0834,0.0884
50,0.0778,0.0883
52,0.0766,0.0879
53,0.0761,0.0869
54,0.0763,0.0849
55,0.0798,0.0851
56,0.0764,0.0837
57,0.0723,0.0835
58,0.0718,0.0816
59,0.0718,0.0814
60,0.0736,0.0844
61,0.0723,0.0832
62,0.0700,0.0793
63,0.0682,0.0812
64,0.0742,0.0809
65,0.0691,0.0768
66,0.0695,0.0780
67,0.0712,0.0790
68,0.0685,0.0774
69,0.0715,0.0837
70,0.0702,0.0814
71,0.0666,0.0778
72,0.0677,0.0748
73,0.0658,0.0760
74,0.0668,0.0752
75,0.0660,0.0728
76,0.0697,0.0747
77,0.0679,0.0742
78,0.0671,0.0740
79,0.0640,0.0757
80,0.0652,0.0781
81,0.0681,0.0750
82,0.0651,0.0768
83,0.0647,0.0729
84,0.0638,0.0764
85,0.0639,0.0763
86,0.0618,0.0717
87,0.0629,0.0706
88,0.0619,0.0697
89,0.0618,0.0684
90,0.0613,0.0690
91,0.0617,0.0680
92,0.0601,0.0719
93,0.0609,0.0724
94,0.0624,0.0690
95,0.0600,0.0667
96,0.0579,0.0681
97,0.0602,0.0663
98,0.0610,0.0693
99,0.0596,0.0660
100,0.0603,0.0710
101,0.0602,0.0691
102,0.0607,0.0671
103,0.0587,0.0656
104,0.0578,0.0658
105,0.0562,0.0659
106,0.0563,0.0641
107,0.0573,0.0679
108,0.0566,0.0662
109,0.0562,0.0647
110,0.0584,0.0687
111,0.0575,0.0633
112,0.0577,0.0636
113,0.0551,0.0622
114,0.0557,0.0622
115,0.0570,0.0623
116,0.0552,0.0625
117,0.0556,0.0612
118,0.0552,0.0605
119,0.0551,0.0652
120,0.0565,0.0673
121,0.0559,0.0613
122,0.0544,0.0623
123,0.0562,0.0618
124,0.0546,0.0605
125,0.0532,0.0615
126,0.0547,0.0595
127,0.0538,0.0598
128,0.0519,0.0600
129,0.0520,0.0605
130,0.0520,0.0588
131,0.0526,0.0598
132,0.0533,0.0613
133,0.0532,0.0581
134,0.0513,0.0598
135,0.0528,0.0601
136,0.0521,0.0594
137,0.0516,0.0574
138,0.0519,0.0616
139,0.0528,0.0586
140,0.0527,0.0577
141,0.0512,0.0591
142,0.0510,0.0603
143,0.0519,0.0576
144,0.0501,0.0566
145,0.0506,0.0579
146,0.0500,0.0571
147,0.0504,0.0565
148,0.0526,0.0601
149,0.0522,0.0607
150,0.0521,0.0570
151,0.0510,0.0576
152,0.0513,0.0560
153,0.0492,0.0562
154,0.0502,0.0572
155,0.0499,0.0552
156,0.0501,0.0543
157,0.0503,0.0571
158,0.0486,0.0551
159,0.0502,0.0556
160,0.0521,0.0578
161,0.0502,0.0569
162,0.0495,0.0563
163,0.0507,0.0573
164,0.0499,0.0557
165,0.0494,0.0577
166,0.0485,0.0551
167,0.0491,0.0566
168,0.0491,0.0548
169,0.0477,0.0533
170,0.0469,0.0527
171,0.0476,0.0545
172,0.0482,0.0595
173,0.0474,0.0525
174,0.0486,0.0524
175,0.0475,0.0530
176,0.0480,0.0565
177,0.0489,0.0552
178,0.0477,0.0545
179,0.0470,0.0527
180,0.0469,0.0547
181,0.0476,0.0531
182,0.0460,0.0542
183,0.0485,0.0541
184,0.0490,0.0532
185,0.0459,0.0540
186,0.0464,0.0518
187,0.0460,0.0521
188,0.0466,0.0551
189,0.0462,0.0529
190,0.0469,0.0547
191,0.0479,0.0530
192,0.0474,0.0526
193,0.0457,0.0517
194,0.0462,0.0525
195,0.0452,0.0498
196,0.0464,0.0520
197,0.0446,0.0506
198,0.0451,0.0503
199,0.0469,0.0506
200,0.0449,0.0516
201,0.0461,0.0503
202,0.0453,0.0507
203,0.0448,0.0502
204,0.0455,0.0514
205,0.0446,0.0504
206,0.0457,0.0511
207,0.0463,0.0512
208,0.0444,0.0500
209,0.0445,0.0519
210,0.0427,0.0492
211,0.0458,0.0508
212,0.0446,0.0500
213,0.0448,0.0493
214,0.0441,0.0507
215,0.0445,0.0497
216,0.0439,0.0484
217,0.0442,0.0493
218,0.0449,0.0496
219,0.0443,0.0498
220,0.0435,0.0516
221,0.0444,0.0486
222,0.0433,0.0478
223,0.0442,0.0493
224,0.0427,0.0488
225,0.0436,0.0482
226,0.0428,0.0493
227,0.0436,0.0477
228,0.0431,0.0546
229,0.0448,0.0507
230,0.0434,0.0476
231,0.0434,0.0502
232,0.0439,0.0477
233,0.0425,0.0474
234,0.0439,0.0474
235,0.0424,0.0479
236,0.0420,0.0509
237,0.0431,0.0481
238,0.0427,0.0467
239,0.0412,0.0490
240,0.0422,0.0471
241,0.0421,0.0457
242,0.0427,0.0467
243,0.0410,0.0467
244,0.0420,0.0460
245,0.0418,0.0469
246,0.0422,0.0458
247,0.0412,0.0461
248,0.0419,0.0471
249,0.0408,0.0499
250,0.0417,0.0451
251,0.0411,0.0461
252,0.0411,0.0473
253,0.0414,0.0459
254,0.0423,0.0483
255,0.0414,0.0469
256,0.0417,0.0458
257,0.0409,0.0477
258,0.0417,0.0462
259,0.0412,0.0457
260,0.0418,0.0511
261,0.0412,0.0460
262,0.0413,0.0500
263,0.0426,0.0459
264,0.0410,0.0475
265,0.0413,0.0450
266,0.0397,0.0468
267,0.0416,0.0458
268,0.0406,0.0449
269,0.0400,0.0453
270,0.0421,0.0470
271,0.0406,0.0469
272,0.0414,0.0455
273,0.0402,0.0462
274,0.0414,0.0467
275,0.0409,0.0459
276,0.0418,0.0460
277,0.0407,0.0446
278,0.0413,0.0452
279,0.0401,0.0476
280,0.0399,0.0453
281,0.0404,0.0459
282,0.0403,0.0446
283,0.0398,0.0475
284,0.0409,0.0483
285,0.0391,0.0446
286,0.0399,0.0448
287,0.0406,0.0444
288,0.0394,0.0448
289,0.0399,0.0465
290,0.0396,0.0436
291,0.0390,0.0452
292,0.0394,0.0443
293,0.0392,0.0449
294,0.0398,0.0443
295,0.0386,0.0427
296,0.0392,0.0435
297,0.0376,0.0431
298,0.0387,0.0446
299,0.0407,0.0430
300,0.0390,0.0435
301,0.0372,0.0448
302,0.0391,0.0445
303,0.0384,0.0435
304,0.0400,0.0435
305,0.0393,0.0448
306,0.0396,0.0452
307,0.0387,0.0450
308,0.0391,0.0430
309,0.0399,0.0429
310,0.0388,0.0491
311,0.0386,0.0437
312,0.0384,0.0421
313,0.0366,0.0467
314,0.0388,0.0430
315,0.0381,0.0424
316,0.0377,0.0437
317,0.0374,0.0433
318,0.0378,0.0434
319,0.0383,0.0440
320,0.0388,0.0423
321,0.0366,0.0419
322,0.0389,0.0440
323,0.0389,0.0434
324,0.0383,0.0444
325,0.0383,0.0433
326,0.0376,0.0434
327,0.0385,0.0443
328,0.0389,0.0431
329,0.0366,0.0430
330,0.0371,0.0427
331,0.0380,0.0418
332,0.0376,0.0426
333,0.0376,0.0418
334,0.0387,0.0417
335,0.0374,0.0418
336,0.0383,0.0418
337,0.0377,0.0431
338,0.0375,0.0437
339,0.0365,0.0413
340,0.0380,0.0434
341,0.0353,0.0410
342,0.0369,0.0411
343,0.0370,0.0412
344,0.0365,0.0416
345,0.0374,0.0414
346,0.0374,0.0423
347,0.0367,0.0408
348,0.0360,0.0412
349,0.0370,0.0419
350,0.0374,0.0413
351,0.0382,0.0430
352,0.0355,0.0415
353,0.0364,0.0420
354,0.0369,0.0420
355,0.0355,0.0422
356,0.0377,0.0456
357,0.0386,0.0420
358,0.0367,0.0426
359,0.0361,0.0415
360,0.0359,0.0414
361,0.0368,0.0407
362,0.0367,0.0413
363,0.0366,0.0407
364,0.0356,0.0418
365,0.0371,0.0424
366,0.0371,0.0410
367,0.0370,0.0410
368,0.0365,0.0410
369,0.0370,0.0409
370,0.0350,0.0422
371,0.0361,0.0396
