epoch,train_loss,valid_loss
1,0.3579,0.2679
2,0.1969,0.2396
3,0.1778,0.2347
4,0.1891,0.2173
5,0.1555,0.2236
6,0.1404,0.2179
7,0.1432,0.1715
8,0.1266,0.1589
9,0.1319,0.1507
10,0.1114,0.1498
11,0.1165,0.1691
12,0.1094,0.1604
13,0.1144,0.1366
14,0.1011,0.1217
15,0.1079,0.1302
16,0.0937,0.1221
17,0.0965,0.1176
18,0.0921,0.1174
19,0.0932,0.1137
20,0.0875,0.1180
21,0.0815,0.1096
22,0.0848,0.1099
23,0.0844,0.1098
24,0.0842,0.1063
25,0.0798,0.1035
26,0.0797,0.1034
27,0.0883,0.0953
28,0.0762,0.0957
29,0.0752,0.0954
30,0.0815,0.0933
31,0.0777,0.0894
32,0.0745,0.0901
33,0.0774,0.0888
34,0.0743,0.0867
35,0.0734,0.0885
36,0.0703,0.0829
37,0.0718,0.0848
38,0.0687,0.0866
39,0.0707,0.0790
40,0.0661,0.0786
41,0.0642,0.0798
42,0.0641,0.0754
43,0.0623,0.0769
44,0.0644,0.0740
45,0.0625,0.0723
46,0.0595,0.0736
47,0.0623,0.0716
48,0.0610,0.0699
49,0.0591,0.0695
50,0.0589,0.0730
51,0.0619,0.0677
52,0.0581,0.0668
53,0.0566,0.0656
54,0.0558,0.0669
55,0.0570,0.0650
56,0.0564,0.0639
57,0.0549,0.0650
58,0.0572,0.0673
59,0.0557,0.0635
60,0.0526,0.0607
61,0.0522,0.0618
62,0.0529,0.0630
63,0.0543,0.0623
64,0.0530,0.0615
65,0.0536,0.0635
66,0.0521,0.0597
67,0.0510,0.0596
68,0.0517,0.0586
69,0.0497,0.0576
70,0.0496,0.0598
71,0.0500,0.0604
72,0.0497,0.0576
73,0.0482,0.0582
74,0.0471,0.0573
75,0.0479,0.0568
76,0.0476,0.0735
77,0.0512,0.0551
78,0.0483,0.0560
79,0.0477,0.0578
80,0.0463,0.0611
81,0.0467,0.0556
82,0.0468,0.0551
83,0.0467,0.0557
84,0.0475,0.0541
85,0.0463,0.0533
86,0.0457,0.0531
87,0.0456,0.0517
88,0.0472,0.0575
89,0.0473,0.0525
90,0.0456,0.0527
91,0.0475,0.0525
92,0.0451,0.0533
93,0.0453,0.0514
94,0.0437,0.0508
95,0.0436,0.0518
96,0.0439,0.0502
97,0.0431,0.0522
98,0.0431,0.0500
99,0.0438,0.0509
100,0.0415,0.0517
101,0.0427,0.0491
102,0.0438,0.0494
103,0.0431,0.0494
104,0.0425,0.0487
105,0.0432,0.0501
106,0.0422,0.0477
107,0.0413,0.0483
108,0.0423,0.0480
109,0.0418,0.0484
110,0.0409,0.0475
111,0.0411,0.0464
112,0.0406,0.0475
113,0.0439,0.0467
114,0.0403,0.0474
115,0.0410,0.0491
116,0.0425,0.0498
117,0.0414,0.0470
118,0.0404,0.0472
119,0.0402,0.0459
120,0.0392,0.0466
121,0.0394,0.0478
122,0.0410,0.0467
123,0.0400,0.0467
124,0.0398,0.0445
125,0.0393,0.0452
126,0.0387,0.0454
127,0.0382,0.0450
128,0.0390,0.0448
129,0.0392,0.0456
130,0.0389,0.0440
131,0.0380,0.0464
